料理名,卵,乳,小麦,そば,ピーナッツ,えび,かに,あわび,大豆,ごま,肉,くるみ
filet_mignon,0,0,0,0,0,0,0,0,0,0,1,0
fish_and_chips,1,0,1,0,0,0,0,0,0,0,0,0
foie_gras,0,0,0,0,0,0,0,0,0,0,0,0
french_fries,1,0,1,0,0,0,0,0,0,0,0,0
french_onion_soup,0,0,0,0,0,0,0,0,0,0,0,0
french_toast,1,1,1,0,0,0,0,0,0,0,0,0
fried_calamari,1,0,1,0,0,0,0,0,0,0,0,0
fried_rice,1,0,0,0,0,1,1,0,0,0,1,0
frozen_yogurt,0,1,0,0,0,0,0,0,0,0,0,0
garlic_bread,1,1,1,0,0,0,0,0,0,0,0,0
gnocchi,0,0,1,0,0,0,0,0,0,0,0,0
greek_salad,0,1,0,0,0,0,0,0,0,0,0,0
grilled_cheese_sandwich,1,1,1,0,0,0,0,0,0,0,1,0
grilled_salmon,0,0,0,0,0,0,0,0,0,0,0,0
guacamole,0,0,0,0,0,0,0,0,0,0,0,0
gyoza,1,1,1,0,0,1,1,0,0,1,1,0
hamburger,1,1,1,0,0,0,0,0,0,0,0,0
hot_and_sour_soup,1,0,0,0,0,0,0,0,1,0,0,0
hot_dog,1,1,1,0,0,0,0,0,0,0,1,0
huevos_rancheros,1,1,1,0,0,0,0,0,0,0,1,0
hummus,0,0,1,0,0,0,0,0,1,0,0,0
ice_cream,0,1,0,0,0,0,0,0,0,0,0,0
lasagna,1,1,1,0,0,0,0,0,0,0,1,0
lobster_bisque,0,1,0,0,0,1,1,0,0,0,0,0
lobster_roll_sandwich,1,1,1,0,0,1,1,0,0,0,0,0
macaroni_and_cheese,1,1,1,0,0,0,0,0,0,0,1,0
macarons,1,1,0,0,0,0,0,0,0,0,0,0
miso_soup,0,0,0,0,0,0,0,0,1,0,0,0
mussels,0,0,0,0,0,0,0,0,0,0,0,0
nachos,1,1,1,0,0,0,0,0,0,0,1,0
omelette,1,0,0,0,0,0,0,0,0,0,0,0
onion_rings,1,1,1,0,0,0,0,0,0,0,0,0
oysters,0,0,0,0,0,0,0,0,0,0,0,0
pad_thai,1,0,0,0,0,1,0,0,0,0,0,0
paella,0,0,0,0,0,1,1,0,0,0,1,0
pancakes,1,1,1,0,1,0,0,0,0,0,0,1
panna_cotta,0,1,0,0,0,0,0,0,0,0,0,0
peking_duck,0,0,0,0,0,0,0,0,1,1,1,0
pho,0,0,0,0,0,1,0,0,0,0,1,0
pizza,1,1,1,0,0,1,1,0,0,1,1,0
pork_chop,0,1,0,0,0,0,0,0,0,0,1,0
poutine,1,1,1,0,0,0,0,0,0,0,0,0
prime_rib,0,0,0,0,0,0,0,0,0,0,1,0
pulled_pork_sandwich,1,1,1,0,0,0,0,0,0,0,1,0
ramen,1,1,1,0,0,1,1,0,1,1,1,0
ravioli,1,1,1,0,0,0,0,0,0,0,1,0
red_velvet_cake,1,1,1,0,0,0,0,0,0,0,0,0
risotto,1,1,0,0,0,1,1,1,0,0,1,0
samosa,0,0,1,0,0,0,0,0,1,0,1,0
sashimi,0,0,0,0,0,1,1,1,1,1,0,0
scallops,0,0,0,0,0,0,0,0,0,0,0,0
seaweed_salad,0,0,0,0,0,1,1,1,1,0,0,0
shrimp_and_grits,0,1,1,0,0,1,0,0,0,0,1,0
spaghetti_bolognese,1,1,1,0,0,0,0,0,0,0,1,0
spaghetti_carbonara,1,1,1,0,0,0,0,0,0,0,1,0
spring_rolls,0,0,0,0,0,1,1,0,0,1,1,0
steak,0,0,0,0,0,0,0,0,0,1,1,0
strawberry_shortcake,1,1,1,0,0,0,0,0,0,0,0,0
sushi,0,0,0,0,0,1,1,1,1,1,1,0
tacos,0,0,1,0,0,0,0,0,0,0,1,0
takoyaki,1,1,1,0,0,0,0,0,0,0,0,0
tiramisu,1,1,1,0,0,0,0,0,0,0,0,0
tuna_tartare,0,0,0,0,0,0,0,0,1,0,0,0
waffles,1,1,1,0,1,0,0,0,0,0,0,1
